venue_id,visitor_id,visit_start_time,visit_end_time,venue_type
CO003,V1510,2024-11-02 06:01:00.000000,2024-11-02 06:53:27.579879,coffee_place
CO002,V0670,2024-11-02 06:08:00.000000,2024-11-02 08:09:43.239637,coffee_place
UN002,V2330,2024-11-02 06:16:00.000000,2024-11-02 08:36:57.736108,university
CO001,V0385,2024-11-02 06:16:00.000000,2024-11-02 06:47:27.844064,coffee_place
CO000,V0013,2024-11-02 06:24:00.000000,2024-11-02 07:06:16.485914,coffee_place
CI000,V2536,2024-11-02 06:27:00.000000,2024-11-02 09:23:28.356202,cinema
CO003,V0221,2024-11-02 06:28:00.000000,2024-11-02 07:22:23.384737,coffee_place
CO004,V0525,2024-11-02 06:40:00.000000,2024-11-02 07:24:12.560506,coffee_place
CI001,V0072,2024-11-02 06:40:00.000000,2024-11-02 08:55:27.817264,cinema
CO004,V2066,2024-11-02 06:55:00.000000,2024-11-02 07:43:02.270797,coffee_place
CO003,V1702,2024-11-02 06:56:00.000000,2024-11-02 07:35:26.031631,coffee_place
CO000,V0769,2024-11-02 07:02:00.000000,2024-11-02 07:55:52.342746,coffee_place
CO001,V1013,2024-11-02 07:03:00.000000,2024-11-02 07:57:45.169848,coffee_place
UN002,V1454,2024-11-02 07:05:00.000000,2024-11-02 08:55:11.454950,university
CO002,V0478,2024-11-02 07:06:00.000000,2024-11-02 07:37:52.522442,coffee_place
CO000,V1532,2024-11-02 07:07:00.000000,2024-11-02 07:33:27.068152,coffee_place
CO004,V1411,2024-11-02 07:07:00.000000,2024-11-02 07:39:10.457094,coffee_place
CO004,V1383,2024-11-02 07:10:00.000000,2024-11-02 07:36:38.383374,coffee_place
CO004,V0472,2024-11-02 07:12:00.000000,2024-11-02 08:15:51.118763,coffee_place
CO003,V0240,2024-11-02 07:12:00.000000,2024-11-02 08:31:58.844644,coffee_place
CO000,V1922,2024-11-02 07:13:00.000000,2024-11-02 07:53:54.183729,coffee_place
CO002,V1702,2024-11-02 07:14:00.000000,2024-11-02 08:14:44.454002,coffee_place
CO001,V0840,2024-11-02 07:19:00.000000,2024-11-02 08:04:57.026554,coffee_place
CO001,V1316,2024-11-02 07:20:00.000000,2024-11-02 07:40:43.172670,coffee_place
CO002,V2127,2024-11-02 07:20:00.000000,2024-11-02 07:55:45.216102,coffee_place
CI000,V0336,2024-11-02 07:21:00.000000,2024-11-02 09:39:30.477770,cinema
CO002,V2400,2024-11-02 07:22:00.000000,2024-11-02 07:27:00.000000,coffee_place
CO003,V2498,2024-11-02 07:23:00.000000,2024-11-02 08:07:47.395493,coffee_place
CO002,V0087,2024-11-02 07:24:00.000000,2024-11-02 08:05:47.430849,coffee_place
CO004,V0355,2024-11-02 07:26:00.000000,2024-11-02 08:25:19.256720,coffee_place
CO001,V1721,2024-11-02 07:26:00.000000,2024-11-02 07:56:56.408153,coffee_place
